"status_id","created_at","screen_name","text","favorite_count","retweet_count","place_full_name","friends_count","school"
"1208386643624783876",2019-12-21 14:00:01,"aggiembk","Saturday Night Beaver

<U+0001F19A> Oregon State
<U+0001F4CD> Reed Arena | 7:30pm
<U+0001F4FA> @SECNetwork
<U+0001F5A5><U+FE0F> https://t.co/h4ttSgocHV
<U+0001F442> https://t.co/SxCHf4oYrY
<U+0001F4CA> https://t.co/VJIPZFVVtq
<U+0001F4DD> https://t.co/7iFxegrtr9
<U+0001F39F><U+FE0F> https://t.co/DR1N5id0gS

@TAMUHotelCC | #GigEm https://t.co/yrAHMCN565",13,1,NA,153,"tamu"
"1207725996033675264",2019-12-19 18:14:50,"aggiembk","Views from our annual team Christmas Party <U+0001F385><U+0001F525><U+0001F381>

#GigEm 
#getBETTER https://t.co/wZohbanT2X",176,14,NA,153,"tamu"
"1208168536163540993",2019-12-20 23:33:20,"aggiembk","Back in action tomorrow.

Game Preview: Oregon St
<U+0001F517> https://t.co/7iFxegrtr9

#GigEm",11,3,NA,153,"tamu"
"1207776930029883394",2019-12-19 21:37:14,"aggiembk","Listen in as @TeamCoachBuzz, @M1French and @akujonathan meet with the media on Thursday:

Coach: https://t.co/AuOHFQtO3e

Players: https://t.co/1T38qlU59D

#GigEm https://t.co/WAkh5HlFuQ",22,3,NA,153,"tamu"
"1208145834233253888",2019-12-20 22:03:07,"AggieWBB","The streak continues! 

That’s 5<U+FE0F><U+20E3>0<U+FE0F><U+20E3> straight games double figures for @ChennedyCarter 

#GigEm https://t.co/Flv2p1LI22",247,38,NA,716,"tamu"
"1208189000139333632",2019-12-21 00:54:39,"AggieWBB","The Aggies made it five striaght in the win column tonight. 

Recap <U+0001F447>
https://t.co/v7mQUX8Bck

#GigEm https://t.co/wrHphWxHMJ",70,7,NA,716,"tamu"
"1207740163415252992",2019-12-19 19:11:08,"AggieWBB","Fun in the sun <U+2600><U+FE0F><U+0001F334><U+0001F30A>

#GigEm https://t.co/GVx8o5HHmv",87,7,NA,716,"tamu"
"1208146485159874561",2019-12-20 22:05:42,"AggieWBB","A&amp;M continues to pull away in the second half, up 40-27 against Georgia Tech with 5:19 left in the 3rd quarter. 

#GigEm",13,0,NA,716,"tamu"
"1208141358701203459",2019-12-20 21:45:20,"AggieWBB","A 13-0 run to close out the first half puts the Aggies on top at the break. 

#GigEm https://t.co/5AyqHOL2IE",16,2,NA,716,"tamu"
"1208055836620337152",2019-12-20 16:05:30,"AggieWBB","<U+0001F512> in for gameday 

#GigEm https://t.co/sToONdsqsn",66,9,NA,716,"tamu"
"1208165671428874240",2019-12-20 23:21:57,"AggieWBB","#12thMan, this season when the Aggies win...you win!

Enter promo code: GigEmWBB
<U+21AA><U+FE0F> $5 off from CSC when you use the app!

@chickensaladchi | #GigEm https://t.co/saeGkBEuAy",2,0,NA,716,"tamu"
"1208155972751020037",2019-12-20 22:43:25,"AggieWBB","The Aggies move to 10-1 with a big win to start the Coqui Classic. 

@ChennedyCarter leads the way with 21 points. 

#GigEm https://t.co/iRhgz3oTAX",108,15,NA,716,"tamu"
"1208153997229613056",2019-12-20 22:35:34,"AggieWBB",".@aaliwilson2 with her second double digit scoring game of the season. 
She has 10 tonight. 

#GigEm https://t.co/K9FBRtnfpA",28,3,NA,716,"tamu"
"1208130007958204419",2019-12-20 21:00:14,"AggieWBB","Lineup is in the books. 

Game time in Puerto Rico <U+0001F3C0><U+0001F334>

#GigEm https://t.co/jSSoH0VojE",42,6,NA,716,"tamu"
"1207795877290618880",2019-12-19 22:52:31,"AggieWBB","Isla vida!  <U+0001F3C4><U+0001F60E>

#GigEm https://t.co/NpAVYfsWWC",72,11,NA,716,"tamu"
"1208145035792961536",2019-12-20 21:59:57,"AggieWBB","1<U+FE0F><U+20E3>1<U+FE0F><U+20E3> points so far tonight for @_CieraJ and she’s the first Aggie in double figures. 

#GigEm https://t.co/HRlCLjFh6B",14,3,NA,716,"tamu"
"1208137864019660800",2019-12-20 21:31:27,"AggieWBB","Aggies on top at the media, 23-20 against Georgia Tech with 4:30 to play before the half.

#GigEm",10,1,NA,716,"tamu"
"1208135167946215426",2019-12-20 21:20:44,"AggieWBB","Aaliyah Wilson gives A&amp;M a spark off the bench, leads the way with 6 pts &amp; 3 reb. 

Aggies trails Georgia Tech 17-13 after the first quarter. 

#GigEm",6,4,NA,716,"tamu"
"1208198416389615616",2019-12-21 01:32:04,"AggieWBB",".@CoachGaryBlair breaks down the team win 

#GigEm https://t.co/ufAgUWeJrY",66,4,NA,716,"tamu"
"1208024252143685632",2019-12-20 14:00:00,"AggieWBB","It's gameday! <U+0001F334> 

<U+0001F3C0> Georgia Tech 
<U+0001F4CD> 3:00 PM (CT) | Guaynabo, Puerto Rico 
<U+0001F4BB> https://t.co/1LDb12qNcm 
<U+0001F50A> 1150 AM/93.7 FM 
<U+0001F3A7> https://t.co/VxeCFxr2ce 
<U+0001F4C8> https://t.co/slKD8iXORP 

@TAMUHotelCC | #GigEm https://t.co/PHHpCV86NZ",66,12,NA,716,"tamu"
"1208139084725706752",2019-12-20 21:36:18,"AggieWBB","6<U+FE0F><U+20E3> straight points from @NdeaJones 

Aggies up 7<U+FE0F><U+20E3> 

#GigEm https://t.co/PWRVJ3qg4Y",28,7,NA,716,"tamu"
"1208386641200463872",2019-12-21 14:00:00,"AggieWBB","It's gameday! <U+0001F334> 

<U+0001F3C0> Montana State 
<U+0001F4CD> 12:30 PM (CT) | Guaynabo, Puerto Rico 
<U+0001F4BB> https://t.co/1LDb12qNcm 
<U+0001F50A> 1620 AM/94.5 FM 
<U+0001F3A7> https://t.co/VxeCFxr2ce 
<U+0001F4C8> https://t.co/7owNOctXom 

@TAMUHotelCC | #GigEm https://t.co/GZY2sWjMWo",10,2,NA,716,"tamu"
"1208149438931374081",2019-12-20 22:17:27,"AggieWBB","Chennedy Carter leads the way with 15 points as the Aggies take a 45-37 lead on Georgia Tech into the 4th quarter. 

#GigEm",12,2,NA,716,"tamu"
"1208372837716766720",2019-12-21 13:05:09,"MyInfo62938065","@ChristaMuhammad @ljack100 Love this video and can't wait to see him playing on Kyle Field.  Welcome to Aggieland! #GigEm #12thMan #AggieNetwork #aggiemom",0,0,NA,103,"tamu"
"1208286421343191040",2019-12-21 07:21:46,"AggiesBrasil","Este perfil será dedicado aos Aggies, mais especificamente ao programa de football da Texas A&amp;M! #GigEm",0,0,NA,56,"tamu"
"1208259150611992577",2019-12-21 05:33:24,"RedInAmerica","@amariclark_2 Come for a visit, this place is different. #GigEm <U+0001F44D><U+0001F3FF> https://t.co/PpJVVPTChX",1,0,NA,2070,"tamu"
"1208257192144621574",2019-12-21 05:25:37,"GregMcLNK","Decision making time is approaching.

Nebraska <U+2705>
Nebraska-Omaha <U+2705>
Texas A&amp;M <U+2705>
Purdue TBD
Georgia Tech TBD

#GBR #GigEm #EveryoneForOmaha #BoilerUp #gatech https://t.co/XVGYOO3UcV",14,0,NA,1289,"tamu"
"1207424952971993090",2019-12-18 22:18:36,"StonewallJaxin","Closing the gap!!!
#GigEm <U+0001F44D> #GigEmGang20 <U+0001F44D> https://t.co/JTvdECkDJZ",0,0,NA,1180,"tamu"
