"status_id","screen_name","text","favorite_count","retweet_count"
1207718583247224832,"dlorahII","@tripaces_ All but 4 teams are on next year already<U+0001F937><U+0001F3FE><U+200D><U+2642><U+FE0F><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923> #GeauxTigers",4,0
1207710280261738496,"dlorahII","@okcloud2014 Who is worked up?? I<U+0092>m glad the young man decided he wanted to stay home and block for y<U+0092>all running backs good luck to him. You seemed worked up all in my LSU posts<U+0001F937><U+0001F3FE><U+200D><U+2642><U+FE0F> I see you like the word Bandwagon but we don<U+0092>t have any room for you sorry dude<U+0001F923> #GeauxTigers",0,0
1207675209953808384,"dlorahII","Was a little bummed as a #LSU fan yesterday but I realized everyone doesn<U+0092>t has what it takes to be a #GeauxTigers We got the best 19 #Savages in the country yesterday<U+0001F929><U+0001F64C><U+0001F3FE><U+203C><U+FE0F> #GeauxTigers https://t.co/B8C1iebv1h",18,1
1207691168051613696,"dlorahII","Georgia signed Burton who is originally from Georgia 

#GeauxTigers signed Arik Gilbert, Bj Ojulari, Phillip Webb, and Max Johnson from Georgia<U+0001F42F><U+0001F49C>",58,6
1207674016267481088,"dlorahII","This guy my favorite signee from yesterday<U+0001F929>... #GeauxTigers<U+0001F42F><U+0001F49C> https://t.co/62CsTtfX8o",8,0
1207708581799313408,"dlorahII","Because y<U+0092>all Georgia fans thinking y<U+0092>all won something yesterday <U+0001F937><U+0001F3FE><U+200D><U+2642><U+FE0F><U+0001F923> We still own y<U+0092>all asses<U+203C><U+FE0F> 37-10 and I<U+0092>m going to keep talking bout that<U+0001F923><U+0001F923><U+0001F923><U+0001F923> #GeauxTigers https://t.co/S8TL9GjJwH https://t.co/WvnyuoSBhp",9,0
1207676323029803008,"dlorahII","@nudiemcglothern @tj_finley1 I been telling you your going to be a #GeauxTigers <U+0001F92B>",0,0
1207717091937312768,"ChiefG4LSU","Best offensive line in the country! Congratulations men! Very well deserved! #LSUTrenchmen #GeauxTigers #LSU @LSUfootball #ForeverLSU <U+0001F60E><U+0001F49C><U+0001F49B><U+0001F42F><U+0001F3C8> https://t.co/DADEFUUtPI",0,0
1207713746484965376,"johnvella","@DeepSeaDaddyJay @Hou_Tex_Jefe @kyleumlang @BarstoolTexasAM @1840ed61a1414e5 Wins?  try ""win"" (since joining the SEC)  <U+0001F923> <U+0001F42F> #GeauxTigers  

https://t.co/kxuUbdpsOW
https://t.co/9dtw3200i4",2,0
1207713736586231808,"LSUFBrecruiting","@CFAPeachBowl see you soon!
 #LSU #GeauxTigers https://t.co/btLDJkKum4",57,16
1207711512615366656,"BustedCherries","#HolidaySwagBag #LSU #HeismanTrophy #SecChampionship #PeachBowl #DanMarino #IsotonerGloves #GeauxTigers #HeismanHouse #BatonRouge #Louisiana

https://t.co/gzFeu0U4jf

#GeauxTigers https://t.co/YRrSn0mzGu",1,0
1207711350165667840,"14powerscom","https://t.co/ssYM999GQ0 #RTR #wareagle #WPS #gogators #UGA #BBN #GeauxTigers #HailState #Mizzou #hottytoddy #gamecocks #gigem #govols #GBO #vandy #AnchorDown  #12thMan #Aggies #Gigem #SECFB #SECFootball #RollTide #Gators #Auburn #14Powers",0,1
1207709267555495936,"itsjengreene","well now instead of hearing me talk about wanting tickets y<U+0092>all can just here me talk about HOW EXCITED I AM!!! Let<U+0092>s goooooo @LSUfootball <U+0001F4AA><U+0001F4AA> #GeauxTigers #LSU https://t.co/UZhVlnCjgP",4,0
1207709195828678656,"CenlaReport","#LSUFootball: The winner of the 2019 Joe Moore Award. The best collegiate football offensive line unit. #GeauxTigers",0,0
1207708423053291520,"KellyAnneTV","Home for the holidays! Meet Andrea Gathercole:

<U+0001F3C8> Showed a solid throwing arm #SEC game #GeauxTigers 
<U+0001F964> Won $100,000 in @drpepper Tuition Giveaway
<U+0001F469><U+0001F3FC><U+200D><U+0001F393> Tues: Took her last final of 2019 @Baylor
<U+2708><U+FE0F> Wed: Flew home to #BatonRouge
<U+0001F4FA> Today: Interview<U+0001F449><U+0001F3FC>https://t.co/kkMSuSL70c https://t.co/lRsdvsIhCP",3,3
1207494203774840832,"DaveWainwright_","@LSUSoccer Congrats!! #GeauxTigers",0,0
1207708216806785024,"DaveWainwright_","@RabalaisAdv I was there too. With Rogie Magee's dad. Hodson made their D look silly. I think we were outnumbered about 10 to 1 but it was fun and a nice day!! #GeauxTigers",0,0
1207708094580580352,"skipcar15","@TStrickk @CentralHSWarri1 @KoleTaylor3 @LSUfootball Welcome to #LSU #GeauxTigers",0,0
1207706469166178304,"prtgirl38","@samidurante8 I do the same I<U+0092>m Birmingham Al and i love it #GEAUXTIGERS",1,0
1207705831472586752,"g_sports21","They talk about Joe<U+0092>s turn around year. They don<U+0092>t talk about our O line tho! Good job O line! 1 of the worst last year to the best this year! #LSU #GeauxTigers @LCush79 @saahdiq @Damienlewis72 @austindeculus76 @EdIngram70 Adrian Magee &amp; @BadaraTraore74",0,0
1207705275827924992,"nicksmithMA","@WalkerJRoss I think i NEED Dat suit. #GeauxTigers",0,0
1207703355000274944,"Bigjoe0630","@atl_q0 @UGA_PB Y<U+0092>all got one we got 4 out of the state of Georgia I<U+0092>m good an #GeauxTigers",0,0
1207702783849308160,"LSUFan19521154","Happy 16th bday to my baby! We reppin the Tigers in KY <U+0001F601> #GeauxTigers https://t.co/WLfrdEJBft",2,0
1207553146286944256,"LSUFan19521154","@TStrickk @KoleTaylor3 @CentralHSWarri1 @LSUfootball Welcome!! Awesome to have you #GeauxTigers",0,0
1207463809713102848,"LSUFan19521154","@bignizo Thank you!!! Been a long time coming! #GeauxTigers",1,0
1207554793146859520,"LSUFan19521154","DUH <U+0001F923><U+0001F923><U+0001F923> #GeauxTigers https://t.co/65GVqFDX7T",0,0
1207701770928979968,"coachKeith_100","@ShoneWoods @asap_koy Congratulations!!!!! #GeauxTigers",0,0
1207701076562137088,"hogmania2","@JNaquins @Jasmine8137488 @Ohio_Buckeye_US @TBeansprout @TikiAngels @FIGHTER_USA_USA @Alexa17101614 @SavannahAngel25 @Southernfor45 @ptmarigan @gingerzsnapped @emtee2355 @TwistedOne96 @1SC_AR @gailsline @RedAce2024 @RL9631 IS GAME DAY GOIN EVER GET HERE<U+0001F3C8><U+0001F3C8> #GEAUXTIGERS https://t.co/asOsMn9JWE",0,0
1207700951005630464,"rivalsmike","#GeauxTigers and find out when Coach O is ripping his shirt off next https://t.co/JRgzJBTIaf",2,0
1207681018284646400,"rivalsmike","BOOM! #LSU #GeauxTigers https://t.co/aVfzJX1Luv",2,0
1207699628457545728,"rwwall2","Any group of humans that make Edward James Orgeron Jr. look small must be massive.

Congrats to the OLine on the award! #GeauxTigers https://t.co/tJfzjOcuiG",2,1
1207699032677715968,"LSU4LifeLSU","@maxtoscano1 @CoachOHummuh We will be FINE BECAUSE WE GOT THE LINE #GeauxTigers https://t.co/GBQXouG4Fn",0,0
1207696676904783872,"gumbo1968","Good morning #GeauxTigers  @ericsslater @RealCarlosO @transammaggie @tj_lsudad",1,0
1207685005448818688,"PrplGld","And bout to add @kardellt62 <U+0001F4AA>
#GeauxTigers https://t.co/hv3Y9mUhaX",2,0
1207696307336499200,"PrplGld","@samidurante8 You<U+0092>re in the wrong Athens.
GA<U+25B6><U+FE0F><U+2708><U+FE0F><U+25B6><U+FE0F>OH
#GeauxTigers",1,0
1207694092999778304,"JeremyTiermini","THIS is the kind of news that matters and I will cheer for @Joe_Burrow10 wherever he goes in the NFL. #GeauxTigers https://t.co/E14pjhzi6y",4,1
1207694071910879232,"kstatum1982","#Trenchmen #GeauxTigers https://t.co/ZwV9FJGDzM",0,0
1207494847734730752,"kstatum1982","#GeauxTigers https://t.co/gRYKSf2GqN https://t.co/mrLOJL4jAX",0,0
